x,y
770.0,990.0
769.0909090909117,989.0909090909081
768.1818181818235,988.181818181818
767.2727272727279,987.2727272727279
766.3636363636397,986.363636363636
765.4545454545514,985.4545454545441
764.5454545454486,984.5454545454559
763.6363636363603,983.636363636364
762.7272727272721,982.7272727272721
761.8181818181765,981.818181818182
760.9090909090883,980.9090909090919
760.0,980.0
760.0,979.0909090909081
760.0,978.181818181818
760.0,977.2727272727279
760.0,976.363636363636
760.0,975.4545454545441
760.0,974.5454545454559
760.0,973.636363636364
760.0,972.7272727272721
760.0,971.818181818182
760.0,970.9090909090919
760.0,970.0
759.0909090909117,969.0909090909081
758.1818181818235,968.181818181818
757.2727272727279,967.2727272727279
756.3636363636397,966.363636363636
755.4545454545514,965.4545454545441
754.5454545454486,964.5454545454559
753.6363636363603,963.636363636364
752.7272727272721,962.7272727272721
751.8181818181765,961.818181818182
750.9090909090883,960.9090909090919
750.0,960.0
749.0909090909117,959.0909090909081
748.1818181818235,958.181818181818
747.2727272727279,957.2727272727279
746.3636363636397,956.363636363636
745.4545454545514,955.4545454545441
744.5454545454486,954.5454545454559
743.6363636363603,953.636363636364
742.7272727272721,952.7272727272721
741.8181818181765,951.818181818182
740.9090909090883,950.9090909090919
740.0,950.0
740.0,949.0909090909081
740.0,948.181818181818
740.0,947.2727272727279
740.0,946.363636363636
740.0,945.4545454545441
740.0,944.5454545454559
740.0,943.636363636364
740.0,942.7272727272721
740.0,941.818181818182
740.0,940.9090909090919
740.0,940.0
740.0,939.0909090909081
740.0,938.181818181818
740.0,937.2727272727279
740.0,936.363636363636
740.0,935.4545454545441
740.0,934.5454545454559
740.0,933.636363636364
740.0,932.7272727272721
740.0,931.818181818182
740.0,930.9090909090919
740.0,930.0
740.0,929.0909090909081
740.0,928.181818181818
740.0,927.2727272727279
740.0,926.363636363636
740.0,925.4545454545441
740.0,924.5454545454559
740.0,923.636363636364
740.0,922.7272727272721
740.0,921.818181818182
740.0,920.9090909090919
740.0,920.0
740.0,919.0909090909081
740.0,918.181818181818
740.0,917.2727272727279
740.0,916.363636363636
740.0,915.4545454545441
740.0,914.5454545454559
740.0,913.636363636364
740.0,912.7272727272721
740.0,911.818181818182
740.0,910.9090909090919
740.0,910.0
740.0,909.0909090909081
740.0,908.181818181818
740.0,907.2727272727279
740.0,906.363636363636
740.0,905.4545454545441
740.0,904.5454545454559
740.0,903.636363636364
740.0,902.7272727272721
740.0,901.818181818182
740.0,900.9090909090919
740.0,900.0
740.0,899.0909090909081
740.0,898.181818181818
740.0,897.2727272727279
740.0,896.363636363636
740.0,895.4545454545441
740.0,894.5454545454559
740.0,893.636363636364
740.0,892.7272727272721
740.0,891.818181818182
740.0,890.9090909090919
740.0,890.0
740.0,889.0909090909081
740.0,888.181818181818
740.0,887.2727272727279
740.0,886.363636363636
740.0,885.4545454545441
740.0,884.5454545454559
740.0,883.636363636364
740.0,882.7272727272721
740.0,881.818181818182
740.0,880.9090909090919
740.0,880.0
740.9090909090883,879.0909090909081
741.8181818181765,878.181818181818
742.7272727272721,877.2727272727279
743.6363636363603,876.363636363636
744.5454545454486,875.4545454545441
745.4545454545514,874.5454545454559
746.3636363636397,873.636363636364
747.2727272727279,872.7272727272721
748.1818181818235,871.818181818182
749.0909090909117,870.9090909090919
750.0,870.0
750.9090909090883,869.0909090909081
751.8181818181765,868.181818181818
752.7272727272721,867.2727272727279
753.6363636363603,866.363636363636
754.5454545454486,865.4545454545441
755.4545454545514,864.5454545454559
756.3636363636397,863.636363636364
757.2727272727279,862.7272727272721
758.1818181818235,861.818181818182
759.0909090909117,860.9090909090919
760.0,860.0
760.9090909090883,859.0909090909081
761.8181818181765,858.181818181818
762.7272727272721,857.2727272727279
763.6363636363603,856.363636363636
764.5454545454486,855.4545454545441
765.4545454545514,854.5454545454559
766.3636363636397,853.636363636364
767.2727272727279,852.7272727272721
768.1818181818235,851.818181818182
769.0909090909117,850.9090909090919
770.0,850.0
770.9090909090883,849.0909090909081
771.8181818181765,848.181818181818
772.7272727272721,847.2727272727279
773.6363636363603,846.363636363636
774.5454545454486,845.4545454545441
775.4545454545514,844.5454545454559
776.3636363636397,843.636363636364
777.2727272727279,842.7272727272721
778.1818181818235,841.818181818182
779.0909090909117,840.9090909090919
780.0,840.0
780.9090909090883,839.0909090909081
781.8181818181765,838.181818181818
782.7272727272721,837.2727272727279
783.6363636363603,836.363636363636
